bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,MREL Ratio_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,MREL Ratio_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed,MREL Ratio_imputed
MORGAN STANLEY BANK INTERNATIONAL,195430,0,high CET1 Ratio / high Total Capital Ratio,0,42.6,42.6,58.9,30.3,412.0,263.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
NATIONAL BANK OF EGYPT UK,204520,1,low CET1 Ratio / low Total Capital Ratio,0,13.7,13.7,18.24,9.2,390.41,150.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
NATIONAL BANK OF KUWAIT INTERNATIONAL,171532,1,low CET1 Ratio / low Total Capital Ratio,0,20.45,20.45,20.45,13.21,497.0,120.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
NATIONAL WESTMINSTER BANK PLC,121878,1,low CET1 Ratio / low Total Capital Ratio,0,11.2,13.4,16.2,4.2,151.0,137.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
NATWEST MARKETS,121882,1,low CET1 Ratio / low Total Capital Ratio,0,18.4,23.0,26.0,5.0,198.0,121.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
NORTHERN BANK,122261,1,low CET1 Ratio / low Total Capital Ratio,0,14.9,19.0,19.0,6.4,287.0,200.0,127.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0,0
OAKNORTH BANK,629564,1,low CET1 Ratio / low Total Capital Ratio,0,15.5,15.5,18.4,16.0,478.0,190.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
ONESAVINGS,530504,1,low CET1 Ratio / low Total Capital Ratio,0,15.8,17.1,19.1,7.4,169.5,140.6,24.7,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0,0
OXBURY,834822,1,low CET1 Ratio / low Total Capital Ratio,0,16.51,16.51,19.39,9.4,296.0,160.6,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
PARAGON,604551,1,low CET1 Ratio / low Total Capital Ratio,0,12.6,12.6,14.3,6.2,154.0,135.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
PERSIA INTERNATIONAL BANK,208020,0,high CET1 Ratio / high Total Capital Ratio,0,40.99,40.99,40.99,53.32,221.13,153.75,26.62,FY2021,FY2021,FY2021,FY2021,FY2021,,,0,0,0,0,0,1,1
PUNJAB NATIONAL BANK INTERNATIONAL,459701,1,low CET1 Ratio / low Total Capital Ratio,0,15.4,20.5,23.6,13.6,350.0,118.0,26.62,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,,0,0,0,0,0,0,1
QIB UK,466577,1,low CET1 Ratio / low Total Capital Ratio,0,17.93,17.93,19.9,10.67,345.59,127.95,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
RBC EUROPE,124543,1,low CET1 Ratio / low Total Capital Ratio,0,13.81,16.15,18.37,3.51,132.0,112.0,26.62,FY2025,FY2025,FY2025,FY2021,FY2025,FY2025,,0,0,0,0,0,0,1
RBS,114724,1,low CET1 Ratio / low Total Capital Ratio,0,11.0,13.8,17.0,5.6,142.0,129.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2024,FY2024,,0,0,0,0,0,0,1
RCI BANK UK,815220,1,low CET1 Ratio / low Total Capital Ratio,0,13.46,13.46,15.42,10.6,287.0,126.0,26.62,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
RECOGNISE BANK,849404,1,low CET1 Ratio / low Total Capital Ratio,0,20.9,20.9,20.9,14.7,299.9,176.4,26.62,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,,0,0,0,0,0,0,1
REDWOOD BANK,755924,1,low CET1 Ratio / low Total Capital Ratio,0,16.6,16.0,19.8,7.4,362.0,148.0,26.62,FY2025,FY2023,FY2025,FY2021,FY2025,FY2023,,0,0,0,0,0,0,1
RELIANCE BANK,204537,1,low CET1 Ratio / low Total Capital Ratio,0,21.8,21.8,25.5,13.3,228.0,153.75,26.62,FY2026,FY2026,FY2023,FY2026,FY2026,,,0,0,0,0,0,1,1
SANTANDER,106054,1,low CET1 Ratio / low Total Capital Ratio,0,15.8,18.5,21.3,5.0,162.0,135.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
SECURE TRUST BANK,204550,1,low CET1 Ratio / low Total Capital Ratio,0,12.9,12.9,15.2,9.4,190.4,143.6,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2023,,0,0,0,0,0,0,1
