bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed
NORTHERN BANK,122261,0,low Tier 1 Ratio / low CET1 Ratio,0,14.9,19.0,19.0,6.4,287.0,200.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
OAKNORTH BANK,629564,0,low Tier 1 Ratio / low CET1 Ratio,0,15.5,15.5,18.4,16.0,478.0,190.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ONESAVINGS,530504,0,low Tier 1 Ratio / low CET1 Ratio,0,15.8,17.1,19.1,7.4,169.5,140.6,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
OXBURY,834822,0,low Tier 1 Ratio / low CET1 Ratio,0,15.94,15.94,18.8,9.2,296.0,201.1,FY2023,FY2023,FY2025,FY2025,FY2025,FY2023,0,0,0,0,0,0
PARAGON,604551,0,low Tier 1 Ratio / low CET1 Ratio,0,12.6,12.6,14.3,6.2,154.0,135.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
PUNJAB NATIONAL BANK INTERNATIONAL,459701,0,low Tier 1 Ratio / low CET1 Ratio,0,15.4,20.5,23.6,13.6,350.0,118.0,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,0,0,0,0,0,0
QIB UK,466577,0,low Tier 1 Ratio / low CET1 Ratio,0,17.93,17.93,19.9,10.67,345.59,127.95,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
RBC EUROPE,124543,0,low Tier 1 Ratio / low CET1 Ratio,0,13.81,16.15,18.37,4.51,132.0,112.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
RBS,114724,0,low Tier 1 Ratio / low CET1 Ratio,0,11.0,13.8,17.0,5.6,138.0,126.0,FY2025,FY2025,FY2025,FY2025,FY2023,FY2023,0,0,0,0,0,0
RCI BANK UK,815220,0,low Tier 1 Ratio / low CET1 Ratio,0,13.69,13.46,15.42,10.6,287.0,126.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
RECOGNISE BANK,849404,0,low Tier 1 Ratio / low CET1 Ratio,0,20.9,20.9,20.9,14.7,299.9,176.4,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,0,0,0,0,0,0
SANTANDER,106054,0,low Tier 1 Ratio / low CET1 Ratio,0,15.8,18.5,21.3,5.0,162.0,135.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
SECURE TRUST BANK,204550,0,low Tier 1 Ratio / low CET1 Ratio,0,12.9,12.9,15.2,9.4,190.4,143.6,FY2025,FY2025,FY2025,FY2025,FY2025,FY2023,0,0,0,0,0,0
SHAWBROOK,204574,0,low Tier 1 Ratio / low CET1 Ratio,0,13.0,14.3,15.9,8.1,265.0,134.5,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
SMBC,223304,0,low Tier 1 Ratio / low CET1 Ratio,0,17.1,17.1,17.1,10.1,160.1,127.2,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
STARLING,730166,0,low Tier 1 Ratio / low CET1 Ratio,0,28.58,28.58,28.58,8.91,569.01,246.87,FY2026 (SGHL)‡,FY2026 (SGHL)‡,FY2026 (SGHL)‡,FY2026 (SGHL)‡,FY2026 (SGHL)‡,FY2026 (SGHL)‡,0,0,0,0,0,0
STATE BANK OF INDIA UK,757156,0,low Tier 1 Ratio / low CET1 Ratio,0,20.98,20.98,20.98,14.43,572.38,135.94,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
STREAMBANK,954876,0,low Tier 1 Ratio / low CET1 Ratio,0,24.8,24.8,24.8,20.4,9081.1,171.6,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
TANDEM,204479,0,low Tier 1 Ratio / low CET1 Ratio,0,15.53,15.53,18.11,9.04,443.4,194.3,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
TD BANK EUROPE,165556,1,high Tier 1 Ratio / high CET1 Ratio,0,158.0,158.0,158.0,5.0,4039.0,5467.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
THIS BANK,832786,0,low Tier 1 Ratio / low CET1 Ratio,0,16.44,16.44,16.44,9.8,554.0,153.75,FY2025,FY2025,FY2025,,FY2025,,0,0,0,1,0,1
TRIODOS,817008,0,low Tier 1 Ratio / low CET1 Ratio,0,21.3,21.3,21.3,11.27,446.0,206.0,FY2025,FY2025,FY2025,FY2024,FY2025,FY2024,0,0,0,0,0,0
TSB,191240,0,low Tier 1 Ratio / low CET1 Ratio,0,16.74,18.88,21.46,5.47,185.0,152.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
TURKISH BANK UK,204566,0,low Tier 1 Ratio / low CET1 Ratio,0,25.97,25.97,25.97,15.9,606.0,195.34,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
UBA UK,695048,1,high Tier 1 Ratio / high CET1 Ratio,0,49.04,49.04,49.04,16.16,352.77,182.68,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
UNION BANCAIRE PRIVEE UK,119250,0,low Tier 1 Ratio / low CET1 Ratio,0,21.2,21.2,21.2,6.6,248.8,253.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
UNION BANK OF INDIA UK,601551,0,low Tier 1 Ratio / low CET1 Ratio,0,27.2,27.2,27.2,22.43,1457.0,136.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
UNITED NATIONAL,207381,0,low Tier 1 Ratio / low CET1 Ratio,0,21.46,21.46,21.56,8.52,287.0,153.75,FY2023,FY2023,FY2023,FY2023,,,0,0,0,0,1,1
UNITED TRUST BANK,204463,0,low Tier 1 Ratio / low CET1 Ratio,0,14.01,16.27,17.33,10.1,398.42,139.71,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
UNITY TRUST,204570,0,low Tier 1 Ratio / low CET1 Ratio,0,24.33,24.33,24.33,11.45,225.76,148.7,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
VANQUIS,221156,0,low Tier 1 Ratio / low CET1 Ratio,0,16.5,19.3,26.1,12.1,391.6,142.8,FY2025,FY2025,FY2025,FY2025,FY2025,FY2023,0,0,0,0,0,0
VIDA,738741,0,low Tier 1 Ratio / low CET1 Ratio,0,15.2,15.2,18.3,4.9,163.0,138.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
WEATHERBYS,204571,0,low Tier 1 Ratio / low CET1 Ratio,0,13.84,14.33,16.26,7.08,1017.0,266.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
ZEMPLER,671140,0,low Tier 1 Ratio / low CET1 Ratio,0,21.74,21.74,22.47,7.99,1108.0,831.0,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,0,0,0,0,0,0
ZENITH,451720,0,low Tier 1 Ratio / low CET1 Ratio,0,23.4,23.4,23.4,12.08,270.19,138.85,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ZOPA,800542,0,low Tier 1 Ratio / low CET1 Ratio,0,14.54,16.87,19.1,11.36,484.0,225.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ALPHA BANK LONDON,135327,,insufficient data,1,,,20.0,11.0,310.0,,,,FY2025,FY2025,FY2025,,0,0,0,0,0,0
ARAB BANK EUROPE,446951,,insufficient data,1,16.0,,23.0,,,,FY2024,,FY2024,,,,0,0,0,0,0,0
BANK MANDIRI EUROPE,204424,,insufficient data,1,,,33.59,,446.89,121.85,,,FY2025,,FY2025,FY2025,0,0,0,0,0,0
BANK SEPAH INTERNATIONAL,208019,,insufficient data,1,102.7,102.7,102.7,,,,FY2025,FY2025,FY2025,,,,0,0,0,0,0,0
BROWN SHIPLEY,124548,,insufficient data,1,21.6,,,,236.0,,FY2024,,,,FY2024,,0,0,0,0,0,0
